Hungate_id|Hungate_id_ori|number_id|kingdom|phylum|class|order|family|genus|species|species_strain|level_covered|Family/Order|Genus/Species|Strain|Culture_collection|Origin|Comments|References|Source
Genome_HUN017|HUN017|102|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Clostridium|Clostridium paraputrificum|Clostridium paraputrificum_AGR2156|7|Clostridiaceae|Clostridium paraputrificum|AGR2156||Calf faeces/NZ|||
Genome_HUN201|HUN201|103|Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Proteiniclasticum|Proteiniclasticum ruminis|Proteiniclasticum ruminis_D3RC-2|7|Clostridiaceae|Proteiniclasticum ruminis |D3RC-2|DSM 24773|Yak rumen/China|Type strain|[22]|DSMZ
Genome_HUN386|HUN386|104|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus casseliflavus|Enterococcus casseliflavus_NLAE-zl-G268|7|Enterococcaceae|Enterococcus casseliflavus|NLAE-zl-G268||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN450|HUN450|105|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus casseliflavus|Enterococcus casseliflavus_NLAE-zl-C414|7|Enterococcaceae |Enterococcus casseliflavus|NLAE-zl-C414||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN086|HUN086|106|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecalis|Enterococcus faecalis_68A|7|Enterococcaceae|Enterococcus faecalis|68A||Sheep rumen/NZ||[23]|
Genome_HUN309|HUN309|107|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecalis|Enterococcus faecalis_VTM1R91|7|Enterococcaceae|Enterococcus faecalis |VTM1R91||Moose rumen/USA|||
Genome_HUN089|HUN089|108|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus gallinarum|Enterococcus gallinarum_SKF1|7|Enterococcaceae|Enterococcus gallinarum|SKF1||Sheep rumen/NZ||[24]|
Genome_HUN250|HUN250|109|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus mundtii|Enterococcus mundtii_C2|7|Enterococcaceae|Enterococcus mundtii|C2||Cow rumen/NZ|||
Genome_HUN295|HUN295|110|Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus||Enterococcus_KPPR-6|6|Enterococcaceae|Enterococcus sp.|KPPR-6||Cow rumen/NZ|Enterococcus malodoratus 97%||
Genome_HUN115|HUN115|111|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|||Erysipelotrichaceae_NK3D112|5|Erysipelotrichaceae|Erysipelotrichaceae bacterium|NK3D112||Sheep rumen/NZ|Bulleidia extructa 94%|[25]|
Genome_HUN389|HUN389|112|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Erysipelatoclostridium innocuum|Erysipelatoclostridium innocuum_NLAE-zl-G197|7|Erysipelotrichaceae|Erysipelatoclostridium innocuum|NLAE-zl-G197||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN445|HUN445|113|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Erysipelatoclostridium innocuum|Erysipelatoclostridium innocuum_NLAE-zl-C381|7|Erysipelotrichaceae|Erysipelatoclostridium innocuum|NLAE-zl-C381||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN150|HUN150|114|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_MC3001|7|Erysipelotrichaceae|Kandleria vitulina|MC3001||Cow rumen/NZ||[8]|
Genome_HUN192|HUN192|115|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_WCE2011|7|Erysipelotrichaceae|Kandleria vitulina|WCE2011||Cow rumen/NZ||[8]|
Genome_HUN199|HUN199|116|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_RL2|7|Erysipelotrichaceae|Kandleria vitulina|RL2|DSM 20405|Calf rumen/UK|Type strain|[26;27;28]|DSMZ
Genome_HUN254|HUN254|117|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_S3b|7|Erysipelotrichaceae|Kandleria vitulina|S3b||Sheep rumen/NZ||[29]|
Genome_HUN401|HUN401|118|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_WCC7|7|Erysipelotrichaceae|Kandleria vitulina|WCC7||Cow rumen/NZ|||
Genome_HUN414|HUN414|119|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Kandleria|Kandleria vitulina|Kandleria vitulina_KH4T7|7|Erysipelotrichaceae|Kandleria vitulina|KH4T7||Cow rumen/NZ|||
Genome_HUN185|HUN185|120|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Sharpea|Sharpea azabuensis|Sharpea azabuensis_ST18|7|Erysipelotrichaceae|Sharpea azabuensis|ST18|DSM 18934|Horse faeces/Japan|Type strain|[30]|DSMZ
Genome_HUN278|HUN278|121|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Sharpea|Sharpea azabuensis|Sharpea azabuensis_RL1|7|Erysipelotrichaceae|Sharpea azabuensis|RL1|DSM 20406|Calf rumen/USA||[26]|DSMZ
Genome_HUN334|HUN334|122|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Sharpea|Sharpea azabuensis|Sharpea azabuensis_KH1P5|7|Erysipelotrichaceae|Sharpea azabuensis|KH1P5||Cow rumen/NZ|||
Genome_HUN340|HUN340|123|Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Sharpea|Sharpea azabuensis|Sharpea azabuensis_KH2P10|7|Erysipelotrichaceae|Sharpea azabuensis|KH2P10||Cow rumen/NZ|||
Genome_HUN387|HUN387|124|Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium|Eubacterium callanderi|Eubacterium callanderi_NLAE-zl-G225|7|Eubacteriaceae|Eubacterium callanderi|NLAE-zl-G225||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN429|HUN429|125|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetitomaculum|Acetitomaculum ruminis|Acetitomaculum ruminis_139 B|7|Lachnospiraceae|Acetitomaculum ruminis|139 B|DSM 5522|Cow rumen/USA|Type strain|[31]|DSMZ
Genome_HUN196|HUN196|126|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia schinkii|Blautia schinkii_B|7|Lachnospiraceae|Blautia schinkii |B|DSM 10518|Lamb rumen/France|Type strain|[32;33]|DSMZ
Genome_HUN235|HUN235|127|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia||Blautia_SF-50|6|Lachnospiraceae|Blautia sp.|SF-50||Cow rumen/USA|Blautia luti 98%||
Genome_HUN021|HUN021|128|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia|Blautia wexlerae|Blautia wexlerae_AGR2146|7|Lachnospiraceae|Blautia wexlerae|AGR2146||Calf faeces/NZ|||
Genome_HUN051|HUN051|129|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_MD2001|7|Lachnospiraceae|Butyrivibrio fibrisolvens|MD2001||Cow rumen/NZ||[8]|
Genome_HUN052|HUN052|130|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_AB2020|7|Lachnospiraceae|Butyrivibrio fibrisolvens|AB2020||Cow rumen/NZ||[8]|
Genome_HUN053|HUN053|131|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_FE2007|7|Lachnospiraceae|Butyrivibrio fibrisolvens|FE2007||Cow rumen/NZ||[8]|
Genome_HUN054|HUN054|132|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_ND3005|7|Lachnospiraceae|Butyrivibrio fibrisolvens|ND3005||Cow rumen/NZ||[8]|
Genome_HUN055|HUN055|133|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_YRB2005|7|Lachnospiraceae|Butyrivibrio fibrisolvens|YRB2005||Cow rumen/NZ||[8]|
Genome_HUN056|HUN056|134|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_WTE3004|7|Lachnospiraceae|Butyrivibrio fibrisolvens|WTE3004||Cow rumen/NZ||[8]|
Genome_HUN361|HUN361|135|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_AR40|7|Lachnospiraceae|Butyrivibrio fibrisolvens |AR40||Sheep rumen/Australia||[8]|Dr. S. Denman
Genome_HUN268|HUN268|136|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio fibrisolvens|Butyrivibrio fibrisolvens_ TB|7|Lachnospiraceae|Butyrivibrio fibrisolvens | TB||Cow rumen/NZ||[34]|
Genome_HUN004|HUN004|137|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio hungatei|Butyrivibrio hungatei_NK4A153|7|Lachnospiraceae|Butyrivibrio hungatei|NK4A153||Sheep rumen/NZ||[25]|
Genome_HUN281|HUN281|138|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio hungatei|Butyrivibrio hungatei_XBD2006|7|Lachnospiraceae|Butyrivibrio hungatei|XBD2006||Cow rumen/NZ||[8]|
Genome_HUN113|HUN113|139|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio proteoclasticus|Butyrivibrio proteoclasticus_FD2007|7|Lachnospiraceae|Butyrivibrio proteoclasticus|FD2007||Cow rumen/NZ||[8]|
Genome_HUN181|HUN181|140|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio proteoclasticus|Butyrivibrio proteoclasticus_P6B7|7|Lachnospiraceae|Butyrivibrio proteoclasticus|P6B7||Cow rumen/NZ|||
Genome_HUN351|HUN351|141|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio|Butyrivibrio proteoclasticus|Butyrivibrio proteoclasticus_P18|7|Lachnospiraceae|Butyrivibrio proteoclasticus|P18||Sheep rumen/UK||[35]|Dr. J. Wallace
Genome_HUN042|HUN042|142|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE2005|6|Lachnospiraceae|Butyrivibrio sp.|AE2005||Cow rumen/NZ||[8]|
Genome_HUN049|HUN049|143|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE3003|6|Lachnospiraceae|Butyrivibrio sp.|AE3003||Cow rumen/NZ||[8]|
Genome_HUN057|HUN057|144|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_MC2013|6|Lachnospiraceae|Butyrivibrio sp.|MC2013||Cow rumen/NZ||[8]|
Genome_HUN058|HUN058|145|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_NC3005|6|Lachnospiraceae|Butyrivibrio sp.|NC3005||Cow rumen/NZ||[8]|
Genome_HUN059|HUN059|146|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_XPD2006|6|Lachnospiraceae|Butyrivibrio sp.|XPD2006||Cow rumen/NZ||[8]|
Genome_HUN060|HUN060|147|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_VCB2001|6|Lachnospiraceae|Butyrivibrio sp.|VCB2001||Cow rumen/NZ||[8]|
Genome_HUN061|HUN061|148|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_FCS006|6|Lachnospiraceae|Butyrivibrio sp.|FCS006||Cow rumen/NZ||[8]|
Genome_HUN062|HUN062|149|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_NC2007|6|Lachnospiraceae|Butyrivibrio sp.|NC2007||Cow rumen/NZ||[8]|
Genome_HUN063|HUN063|150|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_FCS014|6|Lachnospiraceae|Butyrivibrio sp.|FCS014||Cow rumen/NZ||[8]|
Genome_HUN064|HUN064|151|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE2032|6|Lachnospiraceae|Butyrivibrio sp.|AE2032||Cow rumen/NZ||[8]|
Genome_HUN065|HUN065|152|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE3009|6|Lachnospiraceae|Butyrivibrio sp.|AE3009||Cow rumen/NZ||[8]|
Genome_HUN066|HUN066|153|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_XPD2002|6|Lachnospiraceae|Butyrivibrio sp.|XPD2002||Cow rumen/NZ||[8]|
Genome_HUN067|HUN067|154|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE3006|6|Lachnospiraceae|Butyrivibrio sp.|AE3006||Cow rumen/NZ||[8]|
Genome_HUN068|HUN068|155|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_MB2005|6|Lachnospiraceae|Butyrivibrio sp.|MB2005||Cow rumen/NZ||[8]|
Genome_HUN069|HUN069|156|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AC2005|6|Lachnospiraceae|Butyrivibrio sp.|AC2005||Cow rumen/NZ||[8]|
Genome_HUN070|HUN070|157|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_LC3010|6|Lachnospiraceae|Butyrivibrio sp.|LC3010||Cow rumen/NZ||[8]|
Genome_HUN072|HUN072|158|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_FC2001|6|Lachnospiraceae|Butyrivibrio sp.|FC2001||Cow rumen/NZ||[8]|
Genome_HUN073|HUN073|159|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_WCD3002|6|Lachnospiraceae|Butyrivibrio sp.|WCD3002||Cow rumen/NZ||[8]|
Genome_HUN074|HUN074|160|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_VCD2006|6|Lachnospiraceae|Butyrivibrio sp.|VCD2006||Cow rumen/NZ||[8]|
Genome_HUN075|HUN075|161|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AD3002|6|Lachnospiraceae|Butyrivibrio sp.|AD3002||Cow rumen/NZ||[8]|
Genome_HUN076|HUN076|162|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_WCD2001|6|Lachnospiraceae|Butyrivibrio sp.|WCD2001||Cow rumen/NZ||[8]|
Genome_HUN077|HUN077|163|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE3004|6|Lachnospiraceae|Butyrivibrio sp.|AE3004||Cow rumen/NZ||[8]|
Genome_HUN078|HUN078|164|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_VCB2006|6|Lachnospiraceae|Butyrivibrio sp.|VCB2006||Cow rumen/NZ||[8]|
Genome_HUN079|HUN079|165|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_AE2015|6|Lachnospiraceae|Butyrivibrio sp.|AE2015||Cow rumen/NZ||[8]|
Genome_HUN080|HUN080|166|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_XBB1001|6|Lachnospiraceae|Butyrivibrio sp.|XBB1001||Cow rumen/NZ||[8]|
Genome_HUN123|HUN123|167|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_LB2008|6|Lachnospiraceae|Butyrivibrio sp.|LB2008||Cow rumen/NZ||[8]|
Genome_HUN136|HUN136|168|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_MC2021|6|Lachnospiraceae|Butyrivibrio sp.|MC2021||Cow rumen/NZ||[8]|
Genome_HUN145|HUN145|169|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_NC2002|6|Lachnospiraceae|Butyrivibrio sp.|NC2002||Cow rumen/NZ||[8]|
Genome_HUN191|HUN191|170|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_WCE2006|6|Lachnospiraceae|Butyrivibrio sp.|WCE2006||Cow rumen/NZ||[8]|
Genome_HUN218|HUN218|171|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_YAB3001|6|Lachnospiraceae|Butyrivibrio sp.|YAB3001||Cow rumen/NZ||[8]|
Genome_HUN225|HUN225|172|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_INlla14|6|Lachnospiraceae|Butyrivibrio sp.|INlla14||Llama forestomach/Argentina|||Dr. S. Cravero
Genome_HUN226|HUN226|173|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_INlla16|6|Lachnospiraceae|Butyrivibrio sp.|INlla16||Llama forestomach/Argentina|||Dr. S. Cravero
Genome_HUN227|HUN227|174|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_INlla18|6|Lachnospiraceae|Butyrivibrio sp.|INlla18||Llama forestomach/Argentina|||Dr. S. Cravero
Genome_HUN228|HUN228|175|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_INlla21|6|Lachnospiraceae|Butyrivibrio sp.|INlla21||Llama forestomach/Argentina|||Dr. S. Cravero
Genome_HUN265|HUN265|176|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_Su6|6|Lachnospiraceae|Butyrivibrio sp.|Su6||Cow rumen/NZ||[36]|
Genome_HUN318|HUN318|177|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_OB235|6|Lachnospiraceae|Butyrivibrio sp.|OB235||Cow rumen/Canada||[37]|Dr. R. Forster
Genome_HUN458|HUN458|178|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio||Butyrivibrio_M55|6|Lachnospiraceae|Butyrivibrio sp.|M55||Camel forestomach/Australia||[38]|Dr. R. Al Jassim
Genome_HUN018|HUN018|179|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea|Dorea longicatena|Dorea longicatena_AGR2136|7|Lachnospiraceae|Dorea longicatena|AGR2136||Calf faeces/NZ|||
Genome_HUN031|HUN031|180|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea||Dorea_AGR2135|6|Lachnospiraceae|Dorea sp.|AGR2135||Calf faeces/NZ|||
Genome_HUN120|HUN120|181|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eubacterium|Eubacterium cellulosolvens|Eubacterium cellulosolvens_LD2006|7|Lachnospiraceae|Eubacterium cellulosolvens|LD2006||Cow rumen/NZ||[8]|
Genome_HUN209|HUN209|182|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eubacterium|Eubacterium oxidoreducens|Eubacterium oxidoreducens_G41|7|Lachnospiraceae|Eubacterium oxidoreducens|G41|DSM 3217|Cow rumen/USA|Type strain|[39]|DSMZ
Genome_HUN269|HUN269|183|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eubacterium|Eubacterium ruminantium|Eubacterium ruminantium_HUN269|7|Lachnospiraceae|Eubacterium ruminantium|HUN269||Cow rumen/NZ|||
Genome_HUN345|HUN345|184|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eubacterium|Eubacterium ruminantium|Eubacterium ruminantium_FB3002|7|Lachnospiraceae|Eubacterium ruminantium|FB3002||Cow rumen/NZ||[8]|
Genome_HUN353|HUN353|185|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Eubacterium|Eubacterium ruminantium|Eubacterium ruminantium_2388|7|Lachnospiraceae|Eubacterium ruminantium|2388||Sheep rumen/UK|||
Genome_HUN001|HUN001|186|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|Lachnobacterium bovis|Lachnobacterium bovis_NK4B19|7|Lachnospiraceae|Lachnobacterium bovis|NK4B19||Sheep rumen/NZ||[25]|
Genome_HUN050|HUN050|187|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|Lachnobacterium bovis|Lachnobacterium bovis_AE2004|7|Lachnospiraceae|Lachnobacterium bovis|AE2004||Cow rumen/NZ||[8]|
Genome_HUN173|HUN173|188|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|Lachnobacterium bovis|Lachnobacterium bovis_C6A12|7|Lachnospiraceae|Lachnobacterium bovis|C6A12||Cow rumen/NZ|||
Genome_HUN233|HUN233|189|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|Lachnobacterium bovis|Lachnobacterium bovis_S1b|7|Lachnospiraceae|Lachnobacterium bovis|S1b||Sheep rumen/NZ||[29]|
Genome_HUN275|HUN275|190|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium|Lachnobacterium bovis|Lachnobacterium bovis_YZ 87|7|Lachnospiraceae|Lachnobacterium bovis |YZ 87|DSM 14045|Cow rumen/Canada|Type strain|[40]|DSMZ
Genome_HUN197|HUN197|191|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium aerotolerans|Lachnoclostridium aerotolerans_X8A62|7|Lachnospiraceae|Lachnoclostridium aerotolerans |X8A62|DSM 5434|Sheep rumen/South Africa|Type strain|[41]|DSMZ
Genome_HUN231|HUN231|192|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium aminophilum|Lachnoclostridium aminophilum_F|7|Lachnospiraceae|Lachnoclostridium aminophilum|F|DSM 10710|Cow rumen/USA|Type strain|[42]|DSMZ
Genome_HUN332|HUN332|193|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium aminophilum|Lachnoclostridium aminophilum_KH1P1|7|Lachnospiraceae|Lachnoclostridium aminophilum|KH1P1||Cow rumen/NZ|||
Genome_HUN392|HUN392|194|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium citroniae|Lachnoclostridium citroniae_NLAE-zl-G70|7|Lachnospiraceae|Lachnoclostridium citroniae |NLAE-zl-G70||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN259|HUN259|195|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium clostridioforme|Lachnoclostridium clostridioforme_T90|7|Lachnospiraceae|Lachnoclostridium clostridioforme |T90|ATCC 25537|Calf rumen/USA|Type strain|[43]|
Genome_HUN025|HUN025|196|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium clostridioforme|Lachnoclostridium clostridioforme_AGR2157|7|Lachnospiraceae|Lachnoclostridium clostridioforme |AGR2157||Calf faeces/NZ|||
Genome_HUN424|HUN424|197|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium clostridioforme|Lachnoclostridium clostridioforme_NLAE-zl-G208|7|Lachnospiraceae|Lachnoclostridium clostridioforme |NLAE-zl-G208||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN452|HUN452|198|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium clostridioforme|Lachnoclostridium clostridioforme_NLAE-zl-C196|7|Lachnospiraceae|Lachnoclostridium clostridioforme|NLAE-zl-C196||Cow faeces enrichment/USA||[10]|Dr. T. Atherley
Genome_HUN451|HUN451|199|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium contortum|Lachnoclostridium contortum_NLAE-zl-C134|7|Lachnospiraceae|Lachnoclostridium contortum|NLAE-zl-C134||Cow faeces enrichment/USA|Now Faecalicatena contorta|[10]|Dr. T. Atherley
Genome_HUN391|HUN391|200|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium lavalense|Lachnoclostridium lavalense_NLAE-zl-G277|7|Lachnospiraceae|Lachnoclostridium lavalense|NLAE-zl-G277||Goat faeces enrichment/USA|||Dr. T. Atherley
Genome_HUN453|HUN453|201|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium oroticum|Lachnoclostridium oroticum_NLAE-zl-C242|7|Lachnospiraceae|Lachnoclostridium oroticum|NLAE-zl-C242||Cow faeces enrichment/USA|Now Faecalicatena orotica|[10]|Dr. T. Atherley
Genome_HUN326|HUN326|202|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium|Lachnoclostridium polysaccharolyticum|Lachnoclostridium polysaccharolyticum_B|7|Lachnospiraceae|Lachnoclostridium polysaccharolyticum|B|DSM 1801|Sheep rumen/South Africa|Type strain|[44]|DSMZ
